Name;Index;DateTime;High;Low;Open;Close;BidVolume;AskVolume
Bar;2981;17/11/2025 12:25:00;25157,75;25126,25;25150;25149,5;7197;6678
Bar;2982;17/11/2025 12:30:00;25159;25130,5;25149,75;25151,25;6445;6770
Bar;2983;17/11/2025 12:35:00;25164,75;25104;25151,25;25111;10105;8358
Bar;2984;17/11/2025 12:40:00;25112,25;25073,75;25111,75;25076;10914;9820
Bar;2985;17/11/2025 12:45:00;25078,5;25038,5;25076,25;25068,75;12276;12968
Bar;2986;17/11/2025 12:50:00;25073,5;25016,5;25069,25;25021,25;10088;8847
Bar;2987;17/11/2025 12:55:00;25032,5;24996,75;25021,25;25001;8613;8086
Bar;2988;17/11/2025 13:00:00;25003;24961,75;25000,75;24973,5;12899;12696
Bar;2989;17/11/2025 13:05:00;24990,25;24955;24973,75;24971,75;9484;9398
Bar;2990;17/11/2025 13:10:00;25012;24965,5;24971,5;24986,75;11529;13045
Bar;2991;17/11/2025 13:15:00;25009;24966;24987;25000,25;9376;8756
Bar;2992;17/11/2025 13:20:00;25015,5;24976,25;25000,75;24984;8432;7597
Bar;2993;17/11/2025 13:25:00;24996;24967,75;24984,5;24982;6871;6299
Bar;2994;17/11/2025 13:30:00;24984,75;24957,25;24982;24967,25;7472;7246
Bar;2995;17/11/2025 13:35:00;24991;24959,5;24967,25;24975,25;6413;6754
Bar;2996;17/11/2025 13:40:00;25003;24962,25;24976,25;24998;7034;7792
Bar;2997;17/11/2025 13:45:00;25050,75;24996,25;24998,25;25011,5;12063;12068
Bar;2998;17/11/2025 13:50:00;25025,75;24963,75;25011,75;24966;11499;9676
Bar;2999;17/11/2025 13:55:00;24966;24886,75;24966;24895,75;17682;14852
Bar;3000;17/11/2025 14:00:00;24912,25;24851,25;24895,5;24873,5;14438;13568
Bar;3001;17/11/2025 14:05:00;24902,75;24860;24873,25;24894,5;10243;11727
Bar;3002;17/11/2025 14:10:00;24911,5;24870,5;24893,75;24880,75;9952;9459
Bar;3003;17/11/2025 14:15:00;24884,5;24847,75;24880,75;24863,25;9747;9418
Bar;3004;17/11/2025 14:20:00;24873,75;24852;24862,5;24861,75;7198;7629
Bar;3005;17/11/2025 14:25:00;24870,75;24825;24862;24867,75;11535;11983
Bar;3006;17/11/2025 14:30:00;24885,5;24817,5;24867,25;24830,75;11926;11014
Bar;3007;17/11/2025 14:35:00;24847,5;24790,25;24830,75;24791,75;10202;9038
Bar;3008;17/11/2025 14:40:00;24823,5;24777,5;24792;24818,75;10038;11672
Bar;3009;17/11/2025 14:45:00;24823,25;24771,25;24818;24802,5;10651;10191
Bar;3010;17/11/2025 14:50:00;24817,5;24786,75;24801,75;24793,25;8118;8164
Bar;3011;17/11/2025 14:55:00;24796;24754,5;24793,25;24756;11965;10768
Bar;3012;17/11/2025 15:00:00;24765,75;24732;24756,25;24755;11482;11493
Bar;3013;17/11/2025 15:05:00;24790,5;24750;24755;24763,5;10428;11341
Bar;3014;17/11/2025 15:10:00;24797,75;24749,75;24763;24753,25;11133;10937
Bar;3015;17/11/2025 15:15:00;24812,25;24744,25;24753,5;24769,5;10793;11279
Bar;3016;17/11/2025 15:20:00;24806;24762,25;24769,25;24795,75;8298;8730
Bar;3017;17/11/2025 15:25:00;24808;24772,75;24796,5;24788,75;8209;7718
Bar;3018;17/11/2025 15:30:00;24814,5;24760,25;24788,5;24771,25;9670;9617
Bar;3019;17/11/2025 15:35:00;24806;24763,75;24771,75;24765,75;7405;7449
Bar;3020;17/11/2025 15:40:00;24797,5;24762;24765,75;24796,75;6399;7104
Bar;3021;17/11/2025 15:45:00;24851,25;24793,5;24796,5;24846;10884;12364
Bar;3022;17/11/2025 15:50:00;24887;24822,5;24845,75;24838,75;13611;12660
Bar;3023;17/11/2025 15:55:00;24890,75;24834,25;24839;24888;13209;13883
Bar;3024;17/11/2025 16:00:00;24914,25;24885,75;24888,5;24904;6919;7227
Bar;3025;17/11/2025 16:05:00;24913,25;24898,75;24904;24906,75;2036;1975
Bar;3026;17/11/2025 16:10:00;24926;24906,5;24906,5;24920,75;2287;2654
Bar;3027;17/11/2025 16:15:00;24924;24909,5;24920,75;24916,5;1699;1397
Bar;3028;17/11/2025 16:20:00;24920,25;24906,5;24916,5;24910,75;1203;934
Bar;3029;17/11/2025 16:25:00;24911,75;24887,5;24911;24898,5;1909;1381
Bar;3030;17/11/2025 16:30:00;24903,25;24890;24898,75;24899,25;1052;1069
Bar;3031;17/11/2025 16:35:00;24900,5;24878,25;24900,25;24886,25;1638;1357
Bar;3032;17/11/2025 16:40:00;24891,25;24877,25;24886,5;24889,25;829;947
Bar;3033;17/11/2025 16:45:00;24899,5;24887,25;24889,25;24895,75;664;969
Bar;3034;17/11/2025 16:50:00;24899,75;24891,5;24896,25;24898,5;484;436
Bar;3035;17/11/2025 16:55:00;24908;24894,75;24897,75;24905,75;607;629
Bar;3036;17/11/2025 18:00:00;24942;24897,25;24904,75;24940,5;2922;3516
Bar;3037;17/11/2025 18:05:00;24954,5;24914,25;24939,25;24916,75;2570;2264
Bar;3038;17/11/2025 18:10:00;24920,75;24900;24917,75;24903,5;1605;1441
Bar;3039;17/11/2025 18:15:00;24906,75;24882;24903,5;24890;2088;1460
Bar;3040;17/11/2025 18:20:00;24915,5;24887;24888,75;24913,25;1135;1854
Bar;3041;17/11/2025 18:25:00;24925,75;24910,75;24914,5;24923;1040;1318
Bar;3042;17/11/2025 18:30:00;24925,5;24910,5;24923,5;24921,75;1271;1239
Bar;3043;17/11/2025 18:35:00;24934,25;24916,5;24921,75;24934;1038;1177
Bar;3044;17/11/2025 18:40:00;24942,5;24917,5;24934;24918,75;1285;1197
Bar;3045;17/11/2025 18:45:00;24922;24910,25;24919,5;24912,25;1005;904
Bar;3046;17/11/2025 18:50:00;24919,5;24905;24912,25;24913,5;919;651
Bar;3047;17/11/2025 18:55:00;24924,75;24910,5;24913,5;24920;612;833
Bar;3048;17/11/2025 19:00:00;24938,75;24913,5;24920,25;24921,75;1709;1662
Bar;3049;17/11/2025 19:05:00;24935,75;24921,25;24921,25;24929,25;754;830
Bar;3050;17/11/2025 19:10:00;24934;24915;24928,75;24925,25;1343;1271
Bar;3051;17/11/2025 19:15:00;24928;24863,75;24926,75;24878,5;3894;2774
Bar;3052;17/11/2025 19:20:00;24896;24868,75;24878,5;24887,75;2177;2444
Bar;3053;17/11/2025 19:25:00;24893,75;24862,75;24888,5;24864,75;2146;1641
Bar;3054;17/11/2025 19:30:00;24876;24838,25;24865,5;24842,75;3011;2472
